date,type,locale,locale_name,description,transferred,year,month,month_name,day_of_week
2012-03-02,Holiday,Local,Manta,Fundacion De Manta,False,2012,3,March,Friday
2012-04-01,Holiday,Regional,Cotopaxi,Provincializacion De Cotopaxi,False,2012,4,April,Sunday
2012-04-12,Holiday,Local,Cuenca,Fundacion De Cuenca,False,2012,4,April,Thursday
2012-04-14,Holiday,Local,Libertad,Cantonizacion De Libertad,False,2012,4,April,Saturday
2012-04-21,Holiday,Local,Riobamba,Cantonizacion De Riobamba,False,2012,4,April,Saturday
2012-05-12,Holiday,Local,Puyo,Cantonizacion Del Puyo,False,2012,5,May,Saturday
2012-06-23,Holiday,Local,Guaranda,Cantonizacion De Guaranda,False,2012,6,June,Saturday
2012-06-25,Holiday,Regional,Imbabura,Provincializacion De Imbabura,False,2012,6,June,Monday
2012-06-25,Holiday,Local,Latacunga,Cantonizacion De Latacunga,False,2012,6,June,Monday
2012-06-25,Holiday,Local,Machala,Fundacion De Machala,False,2012,6,June,Monday
2012-07-03,Holiday,Local,Santo Domingo,Fundacion De Santo Domingo,False,2012,7,July,Tuesday
2012-07-03,Holiday,Local,El Carmen,Cantonizacion De El Carmen,False,2012,7,July,Tuesday
2012-07-23,Holiday,Local,Cayambe,Cantonizacion De Cayambe,False,2012,7,July,Monday
2012-08-05,Holiday,Local,Esmeraldas,Fundacion De Esmeraldas,False,2012,8,August,Sunday
2012-08-10,Holiday,National,Ecuador,Primer Grito De Independencia,False,2012,8,August,Friday
2012-08-15,Holiday,Local,Riobamba,Fundacion De Riobamba,False,2012,8,August,Wednesday
2012-08-24,Holiday,Local,Ambato,Fundacion De Ambato,False,2012,8,August,Friday
2012-09-28,Holiday,Local,Ibarra,Fundacion De Ibarra,False,2012,9,September,Friday
2012-10-07,Holiday,Local,Quevedo,Cantonizacion De Quevedo,False,2012,10,October,Sunday
2012-10-09,Holiday,National,Ecuador,Independencia De Guayaquil,True,2012,10,October,Tuesday
2012-10-12,Transfer,National,Ecuador,Traslado Independencia De Guayaquil,False,2012,10,October,Friday
2012-11-02,Holiday,National,Ecuador,Dia De Difuntos,False,2012,11,November,Friday
2012-11-03,Holiday,National,Ecuador,Independencia De Cuenca,False,2012,11,November,Saturday
2012-11-06,Holiday,Regional,Santo Domingo De Los Tsachilas,Provincializacion De Santo Domingo,False,2012,11,November,Tuesday
2012-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,False,2012,11,November,Wednesday
2012-11-10,Holiday,Local,Guaranda,Independencia De Guaranda,False,2012,11,November,Saturday
2012-11-11,Holiday,Local,Latacunga,Independencia De Latacunga,False,2012,11,November,Sunday
2012-11-12,Holiday,Local,Ambato,Independencia De Ambato,False,2012,11,November,Monday
2012-12-05,Additional,Local,Quito,Fundacion De Quito-1,False,2012,12,December,Wednesday
2012-12-06,Holiday,Local,Quito,Fundacion De Quito,False,2012,12,December,Thursday
2012-12-08,Holiday,Local,Loja,Fundacion De Loja,False,2012,12,December,Saturday
2012-12-21,Additional,National,Ecuador,Navidad-4,False,2012,12,December,Friday
2012-12-22,Holiday,Local,Salinas,Cantonizacion De Salinas,False,2012,12,December,Saturday
2012-12-22,Additional,National,Ecuador,Navidad-3,False,2012,12,December,Saturday
2012-12-23,Additional,National,Ecuador,Navidad-2,False,2012,12,December,Sunday
2012-12-24,Bridge,National,Ecuador,Puente Navidad,False,2012,12,December,Monday
2012-12-24,Additional,National,Ecuador,Navidad-1,False,2012,12,December,Monday
2012-12-25,Holiday,National,Ecuador,Navidad,False,2012,12,December,Tuesday
2012-12-26,Additional,National,Ecuador,Navidad+1,False,2012,12,December,Wednesday
2012-12-31,Bridge,National,Ecuador,Puente Primer Dia Del Ano,False,2012,12,December,Monday
2012-12-31,Additional,National,Ecuador,Primer Dia Del Ano-1,False,2012,12,December,Monday
2013-01-01,Holiday,National,Ecuador,Primer Dia Del Ano,False,2013,1,January,Tuesday
2013-01-05,Work Day,National,Ecuador,Recupero Puente Navidad,False,2013,1,January,Saturday
2013-01-12,Work Day,National,Ecuador,Recupero Puente Primer Dia Del Ano,False,2013,1,January,Saturday
2013-02-11,Holiday,National,Ecuador,Carnaval,False,2013,2,February,Monday
2013-02-12,Holiday,National,Ecuador,Carnaval,False,2013,2,February,Tuesday
2013-03-02,Holiday,Local,Manta,Fundacion De Manta,False,2013,3,March,Saturday
2013-04-01,Holiday,Regional,Cotopaxi,Provincializacion De Cotopaxi,False,2013,4,April,Monday
2013-04-12,Holiday,Local,Cuenca,Fundacion De Cuenca,False,2013,4,April,Friday
2013-04-14,Holiday,Local,Libertad,Cantonizacion De Libertad,False,2013,4,April,Sunday
2013-04-21,Holiday,Local,Riobamba,Cantonizacion De Riobamba,False,2013,4,April,Sunday
2013-04-29,Holiday,National,Ecuador,Viernes Santo,False,2013,4,April,Monday
2013-05-01,Holiday,National,Ecuador,Dia Del Trabajo,False,2013,5,May,Wednesday
2013-05-11,Additional,National,Ecuador,Dia De La Madre-1,False,2013,5,May,Saturday
2013-05-12,Holiday,Local,Puyo,Cantonizacion Del Puyo,False,2013,5,May,Sunday
2013-05-12,Event,National,Ecuador,Dia De La Madre,False,2013,5,May,Sunday
2013-05-24,Holiday,National,Ecuador,Batalla De Pichincha,False,2013,5,May,Friday
2013-06-23,Holiday,Local,Guaranda,Cantonizacion De Guaranda,False,2013,6,June,Sunday
2013-06-25,Holiday,Regional,Imbabura,Provincializacion De Imbabura,False,2013,6,June,Tuesday
2013-06-25,Holiday,Local,Machala,Fundacion De Machala,False,2013,6,June,Tuesday
2013-06-25,Holiday,Local,Latacunga,Cantonizacion De Latacunga,False,2013,6,June,Tuesday
2013-07-03,Holiday,Local,El Carmen,Cantonizacion De El Carmen,False,2013,7,July,Wednesday
2013-07-03,Holiday,Local,Santo Domingo,Fundacion De Santo Domingo,False,2013,7,July,Wednesday
2013-07-23,Holiday,Local,Cayambe,Cantonizacion De Cayambe,False,2013,7,July,Tuesday
2013-07-24,Additional,Local,Guayaquil,Fundacion De Guayaquil-1,False,2013,7,July,Wednesday
2013-07-25,Holiday,Local,Guayaquil,Fundacion De Guayaquil,False,2013,7,July,Thursday
2013-08-05,Holiday,Local,Esmeraldas,Fundacion De Esmeraldas,False,2013,8,August,Monday
2013-08-10,Holiday,National,Ecuador,Primer Grito De Independencia,False,2013,8,August,Saturday
2013-08-15,Holiday,Local,Riobamba,Fundacion De Riobamba,False,2013,8,August,Thursday
2013-08-24,Holiday,Local,Ambato,Fundacion De Ambato,False,2013,8,August,Saturday
2013-09-28,Holiday,Local,Ibarra,Fundacion De Ibarra,False,2013,9,September,Saturday
2013-10-07,Holiday,Local,Quevedo,Cantonizacion De Quevedo,False,2013,10,October,Monday
2013-10-09,Holiday,National,Ecuador,Independencia De Guayaquil,True,2013,10,October,Wednesday
2013-10-11,Transfer,National,Ecuador,Traslado Independencia De Guayaquil,False,2013,10,October,Friday
2013-11-02,Holiday,National,Ecuador,Dia De Difuntos,False,2013,11,November,Saturday
2013-11-03,Holiday,National,Ecuador,Independencia De Cuenca,False,2013,11,November,Sunday
2013-11-06,Holiday,Regional,Santo Domingo De Los Tsachilas,Provincializacion De Santo Domingo,False,2013,11,November,Wednesday
2013-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,False,2013,11,November,Thursday
2013-11-10,Holiday,Local,Guaranda,Independencia De Guaranda,False,2013,11,November,Sunday
2013-11-11,Holiday,Local,Latacunga,Independencia De Latacunga,False,2013,11,November,Monday
2013-11-12,Holiday,Local,Ambato,Independencia De Ambato,False,2013,11,November,Tuesday
2013-12-05,Additional,Local,Quito,Fundacion De Quito-1,False,2013,12,December,Thursday
2013-12-06,Holiday,Local,Quito,Fundacion De Quito,False,2013,12,December,Friday
2013-12-08,Holiday,Local,Loja,Fundacion De Loja,False,2013,12,December,Sunday
2013-12-21,Additional,National,Ecuador,Navidad-4,False,2013,12,December,Saturday
2013-12-22,Additional,National,Ecuador,Navidad-3,False,2013,12,December,Sunday
2013-12-22,Holiday,Local,Salinas,Cantonizacion De Salinas,False,2013,12,December,Sunday
2013-12-23,Additional,National,Ecuador,Navidad-2,False,2013,12,December,Monday
2013-12-24,Additional,National,Ecuador,Navidad-1,False,2013,12,December,Tuesday
2013-12-25,Holiday,National,Ecuador,Navidad,False,2013,12,December,Wednesday
2013-12-26,Additional,National,Ecuador,Navidad+1,False,2013,12,December,Thursday
2013-12-31,Additional,National,Ecuador,Primer Dia Del Ano-1,False,2013,12,December,Tuesday
2014-01-01,Holiday,National,Ecuador,Primer Dia Del Ano,False,2014,1,January,Wednesday
2014-03-02,Holiday,Local,Manta,Fundacion De Manta,False,2014,3,March,Sunday
2014-03-03,Holiday,National,Ecuador,Carnaval,False,2014,3,March,Monday
2014-03-04,Holiday,National,Ecuador,Carnaval,False,2014,3,March,Tuesday
2014-04-01,Holiday,Regional,Cotopaxi,Provincializacion De Cotopaxi,False,2014,4,April,Tuesday
2014-04-12,Holiday,Local,Cuenca,Fundacion De Cuenca,False,2014,4,April,Saturday
2014-04-14,Holiday,Local,Libertad,Cantonizacion De Libertad,False,2014,4,April,Monday
2014-04-18,Holiday,National,Ecuador,Viernes Santo,False,2014,4,April,Friday
2014-04-21,Holiday,Local,Riobamba,Cantonizacion De Riobamba,False,2014,4,April,Monday
2014-05-01,Holiday,National,Ecuador,Dia Del Trabajo,False,2014,5,May,Thursday
2014-05-10,Additional,National,Ecuador,Dia De La Madre-1,False,2014,5,May,Saturday
2014-05-11,Event,National,Ecuador,Dia De La Madre,False,2014,5,May,Sunday
2014-05-12,Holiday,Local,Puyo,Cantonizacion Del Puyo,False,2014,5,May,Monday
2014-05-24,Holiday,National,Ecuador,Batalla De Pichincha,False,2014,5,May,Saturday
2014-06-12,Event,National,Ecuador,Inauguracion Mundial De Futbol Brasil,False,2014,6,June,Thursday
2014-06-15,Event,National,Ecuador,Mundial De Futbol Brasil: Ecuador-Suiza,False,2014,6,June,Sunday
2014-06-20,Event,National,Ecuador,Mundial De Futbol Brasil: Ecuador-Honduras,False,2014,6,June,Friday
2014-06-23,Holiday,Local,Guaranda,Cantonizacion De Guaranda,False,2014,6,June,Monday
2014-06-25,Holiday,Local,Latacunga,Cantonizacion De Latacunga,False,2014,6,June,Wednesday
2014-06-25,Holiday,Local,Machala,Fundacion De Machala,False,2014,6,June,Wednesday
2014-06-25,Holiday,Regional,Imbabura,Provincializacion De Imbabura,False,2014,6,June,Wednesday
2014-06-25,Event,National,Ecuador,Mundial De Futbol Brasil: Ecuador-Francia,False,2014,6,June,Wednesday
2014-06-28,Event,National,Ecuador,Mundial De Futbol Brasil: Octavos De Final,False,2014,6,June,Saturday
2014-06-29,Event,National,Ecuador,Mundial De Futbol Brasil: Octavos De Final,False,2014,6,June,Sunday
2014-06-30,Event,National,Ecuador,Mundial De Futbol Brasil: Octavos De Final,False,2014,6,June,Monday
2014-07-01,Event,National,Ecuador,Mundial De Futbol Brasil: Octavos De Final,False,2014,7,July,Tuesday
2014-07-03,Holiday,Local,El Carmen,Cantonizacion De El Carmen,False,2014,7,July,Thursday
2014-07-03,Holiday,Local,Santo Domingo,Fundacion De Santo Domingo,False,2014,7,July,Thursday
2014-07-04,Event,National,Ecuador,Mundial De Futbol Brasil: Cuartos De Final,False,2014,7,July,Friday
2014-07-05,Event,National,Ecuador,Mundial De Futbol Brasil: Cuartos De Final,False,2014,7,July,Saturday
2014-07-08,Event,National,Ecuador,Mundial De Futbol Brasil: Semifinales,False,2014,7,July,Tuesday
2014-07-09,Event,National,Ecuador,Mundial De Futbol Brasil: Semifinales,False,2014,7,July,Wednesday
2014-07-12,Event,National,Ecuador,Mundial De Futbol Brasil: Tercer Y Cuarto Lugar,False,2014,7,July,Saturday
2014-07-13,Event,National,Ecuador,Mundial De Futbol Brasil: Final,False,2014,7,July,Sunday
2014-07-23,Holiday,Local,Cayambe,Cantonizacion De Cayambe,False,2014,7,July,Wednesday
